"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"49"	"12"	"61"	"8"	"375"	"41.7"	"5.48"	"177.47"	"12"	"1"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"54"	"21"	"52"	"21"	"573"	"61.0"	"5.87"	"175.45"	"21"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"43"	"19"	"41"	"10"	"724"	"83.2"	"5.03"	"125.06"	"19"	"1"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"19"	"27"	"36"	"27"	"2511"	"273.3"	"6.44"	"109.36"	"27"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"29"	"9"	"32"	"3"	"462"	"50.1"	"9.01"	"109.29"	"9"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"47"	"20"	"39"	"17"	"646"	"70.9"	"5.52"	"108.17"	"20"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"38"	"18"	"36"	"10"	"732"	"84.6"	"5.02"	"104.26"	"18"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"50"	"16"	"32"	"6"	"444"	"49.6"	"4.89"	"97.50"	"16"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"37"	"12"	"30"	"4"	"451"	"50.1"	"5.06"	"95.09"	"12"	"1"
"False"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type [OS=Homo sapiens]"	"47"	"12"	"26"	"12"	"381"	"42.6"	"5.59"	"87.00"	"12"	"1"
"False"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 [OS=Homo sapiens]"	"28"	"10"	"26"	"4"	"463"	"50.4"	"9.03"	"85.99"	"10"	"1"
"False"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain [OS=Homo sapiens]"	"50"	"16"	"27"	"3"	"445"	"49.8"	"4.89"	"81.91"	"16"	"1"
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 [OS=Homo sapiens]"	"19"	"25"	"29"	"22"	"1960"	"226.4"	"5.60"	"78.42"	"25"	"1"
