"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"29"	"49"	"65"	"49"	"2511"	"273.3"	"6.44"	"234.65"	"49"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"40"	"9"	"42"	"7"	"375"	"41.7"	"5.48"	"147.42"	"9"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"43"	"21"	"45"	"18"	"646"	"70.9"	"5.52"	"141.35"	"21"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"31"	"17"	"44"	"9"	"732"	"84.6"	"5.02"	"133.60"	"17"	"1"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"36"	"15"	"37"	"15"	"573"	"61.0"	"5.87"	"133.49"	"15"	"1"
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 [OS=Homo sapiens]"	"22"	"35"	"42"	"32"	"1960"	"226.4"	"5.60"	"131.85"	"35"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"26"	"16"	"42"	"7"	"724"	"83.2"	"5.03"	"129.21"	"16"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"37"	"14"	"41"	"7"	"444"	"49.6"	"4.89"	"125.38"	"14"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"20"	"7"	"33"	"2"	"462"	"50.1"	"9.01"	"121.62"	"7"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"26"	"9"	"37"	"2"	"451"	"50.1"	"5.06"	"119.20"	"9"	"1"
"False"	"IsMasterProtein"	"P68366"	"Tubulin alpha-4A chain [OS=Homo sapiens]"	"27"	"9"	"37"	"2"	"448"	"49.9"	"5.06"	"117.63"	"9"	"1"
"False"	"IsMasterProtein"	"P06576"	"ATP synthase subunit beta, mitochondrial [OS=Homo sapiens]"	"46"	"16"	"32"	"16"	"529"	"56.5"	"5.40"	"108.49"	"16"	"1"
