"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"37"	"12"	"13"	"12"	"573"	"61.0"	"5.87"	"39.30"	"12"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"20"	"7"	"11"	"2"	"462"	"50.1"	"9.01"	"29.95"	"7"	"1"
"False"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase [OS=Homo sapiens]"	"30"	"6"	"8"	"6"	"335"	"36.0"	"8.46"	"24.23"	"6"	"1"
"False"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 [OS=Homo sapiens]"	"23"	"7"	"9"	"2"	"463"	"50.4"	"9.03"	"23.47"	"7"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"22"	"6"	"7"	"1"	"451"	"50.1"	"5.06"	"22.22"	"6"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"24"	"6"	"8"	"5"	"375"	"41.7"	"5.48"	"21.38"	"6"	"1"
"False"	"IsMasterProtein"	"P68366"	"Tubulin alpha-4A chain [OS=Homo sapiens]"	"21"	"6"	"7"	"1"	"448"	"49.9"	"5.06"	"20.81"	"6"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"15"	"7"	"7"	"3"	"724"	"83.2"	"5.03"	"20.05"	"7"	"1"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"4"	"7"	"7"	"7"	"2511"	"273.3"	"6.44"	"17.95"	"7"	"1"
"False"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type [OS=Homo sapiens]"	"29"	"6"	"7"	"6"	"381"	"42.6"	"5.59"	"17.39"	"6"	"1"
"False"	"IsMasterProtein"	"Q00796"	"Sorbitol dehydrogenase [OS=Homo sapiens]"	"20"	"5"	"6"	"5"	"357"	"38.3"	"7.97"	"16.79"	"5"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"16"	"5"	"5"	"2"	"444"	"49.6"	"4.89"	"13.79"	"5"	"1"
"False"	"IsMasterProtein"	"P27797"	"Calreticulin [OS=Homo sapiens]"	"10"	"3"	"4"	"3"	"417"	"48.1"	"4.44"	"13.02"	"3"	"1"
"False"	"IsMasterProtein"	"P06899"	"Histone H2B type 1-J [OS=Homo sapiens]"	"12"	"1"	"5"	"1"	"126"	"13.9"	"10.32"	"13.01"	"1"	"1"
"False"	"IsMasterProtein"	"P25705"	"ATP synthase subunit alpha, mitochondrial [OS=Homo sapiens]"	"12"	"5"	"5"	"5"	"553"	"59.7"	"9.13"	"12.66"	"5"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"10"	"4"	"4"	"4"	"646"	"70.9"	"5.52"	"11.54"	"4"	"1"
"False"	"IsMasterProtein"	"P04075"	"Fructose-bisphosphate aldolase A [OS=Homo sapiens]"	"20"	"4"	"4"	"4"	"364"	"39.4"	"8.09"	"11.31"	"4"	"1"
"False"	"IsMasterProtein"	"P30101"	"Protein disulfide-isomerase A3 [OS=Homo sapiens]"	"9"	"3"	"3"	"3"	"505"	"56.7"	"6.35"	"10.90"	"3"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"7"	"4"	"4"	"1"	"732"	"84.6"	"5.02"	"10.73"	"4"	"1"
"False"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain [OS=Homo sapiens]"	"12"	"4"	"4"	"1"	"445"	"49.8"	"4.89"	"10.67"	"4"	"1"
"False"	"IsMasterProtein"	"P14625"	"Endoplasmin [OS=Homo sapiens]"	"6"	"4"	"4"	"3"	"803"	"92.4"	"4.84"	"10.26"	"4"	"1"
"False"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM [OS=Homo sapiens]"	"15"	"4"	"5"	"4"	"531"	"57.9"	"7.84"	"10.12"	"4"	"1"
