"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"37"	"12"	"16"	"12"	"573"	"61.0"	"5.87"	"50.60"	"12"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"26"	"8"	"15"	"2"	"451"	"50.1"	"5.06"	"40.73"	"8"	"1"
"False"	"IsMasterProtein"	"P68366"	"Tubulin alpha-4A chain [OS=Homo sapiens]"	"24"	"7"	"12"	"1"	"448"	"49.9"	"5.06"	"33.00"	"7"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"13"	"4"	"9"	"2"	"462"	"50.1"	"9.01"	"28.96"	"4"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"32"	"8"	"10"	"6"	"375"	"41.7"	"5.48"	"28.30"	"8"	"1"
"False"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type [OS=Homo sapiens]"	"25"	"5"	"8"	"5"	"381"	"42.6"	"5.59"	"26.28"	"5"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"25"	"7"	"9"	"7"	"444"	"49.6"	"4.89"	"23.67"	"7"	"1"
"False"	"IsMasterProtein"	"P06733"	"Alpha-enolase [OS=Homo sapiens]"	"29"	"7"	"9"	"7"	"434"	"47.1"	"7.39"	"22.77"	"7"	"1"
"False"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 [OS=Homo sapiens]"	"12"	"3"	"7"	"1"	"463"	"50.4"	"9.03"	"21.21"	"3"	"1"
"False"	"IsMasterProtein"	"P25705"	"ATP synthase subunit alpha, mitochondrial [OS=Homo sapiens]"	"20"	"7"	"7"	"7"	"553"	"59.7"	"9.13"	"19.69"	"7"	"1"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"4"	"7"	"7"	"7"	"2511"	"273.3"	"6.44"	"19.69"	"7"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"16"	"7"	"7"	"5"	"724"	"83.2"	"5.03"	"18.34"	"7"	"1"
"False"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM [OS=Homo sapiens]"	"23"	"7"	"7"	"7"	"531"	"57.9"	"7.84"	"18.03"	"7"	"1"
"False"	"IsMasterProtein"	"P04075"	"Fructose-bisphosphate aldolase A [OS=Homo sapiens]"	"29"	"6"	"6"	"6"	"364"	"39.4"	"8.09"	"16.83"	"6"	"1"
"False"	"IsMasterProtein"	"P06899"	"Histone H2B type 1-J [OS=Homo sapiens]"	"12"	"1"	"6"	"1"	"126"	"13.9"	"10.32"	"16.54"	"1"	"1"
"False"	"IsMasterProtein"	"P68032"	"Actin, alpha cardiac muscle 1 [OS=Homo sapiens]"	"14"	"3"	"5"	"1"	"377"	"42.0"	"5.39"	"16.23"	"3"	"1"
"False"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase [OS=Homo sapiens]"	"21"	"5"	"6"	"5"	"335"	"36.0"	"8.46"	"16.05"	"5"	"1"
"False"	"IsMasterProtein"	"P27797"	"Calreticulin [OS=Homo sapiens]"	"12"	"4"	"5"	"4"	"417"	"48.1"	"4.44"	"15.97"	"4"	"1"
"False"	"IsMasterProtein"	"P30041"	"Peroxiredoxin-6 [OS=Homo sapiens]"	"29"	"4"	"5"	"4"	"224"	"25.0"	"6.38"	"15.83"	"4"	"1"
"False"	"IsMasterProtein"	"P30101"	"Protein disulfide-isomerase A3 [OS=Homo sapiens]"	"16"	"5"	"5"	"5"	"505"	"56.7"	"6.35"	"14.64"	"5"	"1"
"False"	"IsMasterProtein"	"Q00796"	"Sorbitol dehydrogenase [OS=Homo sapiens]"	"15"	"3"	"4"	"3"	"357"	"38.3"	"7.97"	"14.50"	"3"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"12"	"5"	"5"	"5"	"646"	"70.9"	"5.52"	"14.42"	"5"	"1"
"False"	"IsMasterProtein"	"P07237"	"Protein disulfide-isomerase [OS=Homo sapiens]"	"20"	"5"	"5"	"5"	"508"	"57.1"	"4.87"	"13.88"	"5"	"1"
"False"	"IsMasterProtein"	"P32119"	"Peroxiredoxin-2 [OS=Homo sapiens]"	"20"	"4"	"5"	"3"	"198"	"21.9"	"5.97"	"12.05"	"4"	"1"
"False"	"IsMasterProtein"	"Q07020"	"Large ribosomal subunit protein eL18 [OS=Homo sapiens]"	"25"	"4"	"4"	"4"	"188"	"21.6"	"11.72"	"12.04"	"4"	"1"
"False"	"IsMasterProtein"	"Q01105"	"Protein SET [OS=Homo sapiens]"	"22"	"3"	"3"	"3"	"290"	"33.5"	"4.32"	"11.08"	"3"	"1"
"False"	"IsMasterProtein"	"P05387"	"Large ribosomal subunit protein P2 [OS=Homo sapiens]"	"56"	"3"	"4"	"3"	"115"	"11.7"	"4.54"	"10.76"	"3"	"1"
"False"	"IsMasterProtein"	"P05388"	"Large ribosomal subunit protein uL10 [OS=Homo sapiens]"	"21"	"4"	"4"	"4"	"317"	"34.3"	"5.97"	"10.52"	"4"	"1"
"False"	"IsMasterProtein"	"P06748"	"Nucleophosmin [OS=Homo sapiens]"	"11"	"2"	"3"	"2"	"294"	"32.6"	"4.78"	"10.17"	"2"	"1"
"False"	"IsMasterProtein"	"P05783"	"Keratin, type I cytoskeletal 18 [OS=Homo sapiens]"	"11"	"2"	"3"	"2"	"430"	"48.0"	"5.45"	"10.15"	"2"	"1"
"False"	"IsMasterProtein"	"P55072"	"Transitional endoplasmic reticulum ATPase [OS=Homo sapiens]"	"7"	"4"	"4"	"4"	"806"	"89.3"	"5.26"	"10.10"	"4"	"1"
"False"	"IsMasterProtein"	"P78371"	"T-complex protein 1 subunit beta [OS=Homo sapiens]"	"12"	"4"	"4"	"4"	"535"	"57.5"	"6.46"	"10.10"	"4"	"1"
"False"	"IsMasterProtein"	"P60842"	"Eukaryotic initiation factor 4A-I [OS=Homo sapiens]"	"15"	"4"	"4"	"4"	"406"	"46.1"	"5.48"	"10.07"	"4"	"1"
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 [OS=Homo sapiens]"	"3"	"4"	"4"	"4"	"1960"	"226.4"	"5.60"	"10.03"	"4"	"1"
"False"	"IsMasterProtein"	"P06576"	"ATP synthase subunit beta, mitochondrial [OS=Homo sapiens]"	"12"	"4"	"4"	"4"	"529"	"56.5"	"5.40"	"9.70"	"4"	"1"
"False"	"IsMasterProtein"	"P04792"	"Heat shock protein beta-1 [OS=Homo sapiens]"	"35"	"3"	"3"	"3"	"205"	"22.8"	"6.40"	"9.37"	"3"	"1"
"False"	"IsMasterProtein"	"Q06830"	"Peroxiredoxin-1 [OS=Homo sapiens]"	"15"	"3"	"4"	"2"	"199"	"22.1"	"8.13"	"8.98"	"3"	"1"
"False"	"IsMasterProtein"	"P04908"	"Histone H2A type 1-B/E [OS=Homo sapiens]"	"20"	"2"	"3"	"1"	"130"	"14.1"	"11.05"	"8.85"	"2"	"1"
"False"	"IsMasterProtein"	"P40926"	"Malate dehydrogenase, mitochondrial [OS=Homo sapiens]"	"13"	"3"	"3"	"3"	"338"	"35.5"	"8.68"	"8.78"	"3"	"1"
"False"	"IsMasterProtein"	"P00338"	"L-lactate dehydrogenase A chain [OS=Homo sapiens]"	"13"	"4"	"4"	"4"	"332"	"36.7"	"8.27"	"8.77"	"4"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"5"	"3"	"3"	"1"	"732"	"84.6"	"5.02"	"8.49"	"3"	"1"
"False"	"IsMasterProtein"	"P07737"	"Profilin-1 [OS=Homo sapiens]"	"31"	"3"	"3"	"3"	"140"	"15.0"	"8.27"	"8.07"	"3"	"1"
"False"	"IsMasterProtein"	"P62701"	"Small ribosomal subunit protein eS4, X isoform [OS=Homo sapiens]"	"13"	"3"	"3"	"3"	"263"	"29.6"	"10.15"	"7.83"	"3"	"1"
"False"	"IsMasterProtein"	"P32969"	"Large ribosomal subunit protein uL6 [OS=Homo sapiens]"	"26"	"2"	"2"	"2"	"192"	"21.9"	"9.95"	"7.80"	"2"	"1"
"False"	"IsMasterProtein"	"P38646"	"Stress-70 protein, mitochondrial [OS=Homo sapiens]"	"5"	"3"	"3"	"3"	"679"	"73.6"	"6.16"	"7.66"	"3"	"1"
"False"	"IsMasterProtein"	"P23526"	"Adenosylhomocysteinase [OS=Homo sapiens]"	"8"	"3"	"3"	"3"	"432"	"47.7"	"6.34"	"7.56"	"3"	"1"
"False"	"IsMasterProtein"	"P05141"	"ADP/ATP translocase 2 [OS=Homo sapiens]"	"11"	"3"	"3"	"3"	"298"	"32.8"	"9.69"	"7.55"	"3"	"1"
"False"	"IsMasterProtein"	"P13639"	"Elongation factor 2 [OS=Homo sapiens]"	"5"	"2"	"2"	"2"	"858"	"95.3"	"6.83"	"7.45"	"2"	"1"
"False"	"IsMasterProtein"	"P62805"	"Histone H4 [OS=Homo sapiens]"	"17"	"2"	"3"	"2"	"103"	"11.4"	"11.36"	"7.41"	"2"	"1"
"False"	"IsMasterProtein"	"P16403"	"Histone H1.2 [OS=Homo sapiens]"	"17"	"3"	"3"	"3"	"213"	"21.4"	"10.93"	"7.40"	"3"	"1"
"False"	"IsMasterProtein"	"Q12906"	"Interleukin enhancer-binding factor 3 [OS=Homo sapiens]"	"5"	"3"	"3"	"3"	"894"	"95.3"	"8.76"	"7.31"	"3"	"1"
"False"	"IsMasterProtein"	"P05787"	"Keratin, type II cytoskeletal 8 [OS=Homo sapiens]"	"6"	"3"	"3"	"3"	"483"	"53.7"	"5.59"	"6.70"	"3"	"1"
