"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"29"	"48"	"60"	"48"	"2511"	"273.3"	"6.44"	"209.04"	"48"	"1"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"49"	"21"	"52"	"21"	"573"	"61.0"	"5.87"	"176.61"	"21"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"42"	"21"	"51"	"11"	"724"	"83.2"	"5.03"	"160.04"	"21"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"50"	"17"	"50"	"7"	"444"	"49.6"	"4.89"	"157.58"	"17"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"34"	"20"	"47"	"11"	"732"	"84.6"	"5.02"	"138.65"	"20"	"1"
"False"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type [OS=Homo sapiens]"	"46"	"12"	"40"	"12"	"381"	"42.6"	"5.59"	"135.22"	"12"	"1"
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 [OS=Homo sapiens]"	"23"	"35"	"41"	"30"	"1960"	"226.4"	"5.60"	"133.55"	"35"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"40"	"9"	"39"	"7"	"375"	"41.7"	"5.48"	"124.09"	"9"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"36"	"19"	"39"	"16"	"646"	"70.9"	"5.52"	"120.80"	"19"	"1"
"False"	"IsMasterProtein"	"Q9BQE3"	"Tubulin alpha-1C chain [OS=Homo sapiens]"	"37"	"12"	"38"	"5"	"449"	"49.9"	"5.10"	"117.79"	"12"	"1"
