"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"35"	"13"	"17"	"13"	"573"	"61.0"	"5.87"	"51.43"	"13"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"26"	"8"	"15"	"2"	"451"	"50.1"	"5.06"	"40.67"	"8"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"32"	"7"	"13"	"5"	"375"	"41.7"	"5.48"	"34.33"	"7"	"1"
"False"	"IsMasterProtein"	"P68366"	"Tubulin alpha-4A chain [OS=Homo sapiens]"	"24"	"7"	"12"	"1"	"448"	"49.9"	"5.06"	"32.80"	"7"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"17"	"6"	"11"	"6"	"462"	"50.1"	"9.01"	"30.41"	"6"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"18"	"10"	"12"	"3"	"724"	"83.2"	"5.03"	"29.54"	"10"	"1"
"False"	"IsMasterProtein"	"P04075"	"Fructose-bisphosphate aldolase A [OS=Homo sapiens]"	"33"	"7"	"8"	"7"	"364"	"39.4"	"8.09"	"27.84"	"7"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"30"	"9"	"9"	"6"	"444"	"49.6"	"4.89"	"26.53"	"9"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"13"	"8"	"10"	"2"	"732"	"84.6"	"5.02"	"26.24"	"8"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"19"	"8"	"9"	"6"	"646"	"70.9"	"5.52"	"25.02"	"8"	"1"
"False"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM [OS=Homo sapiens]"	"22"	"8"	"9"	"8"	"531"	"57.9"	"7.84"	"23.43"	"8"	"1"
"False"	"IsMasterProtein"	"P06733"	"Alpha-enolase [OS=Homo sapiens]"	"21"	"5"	"8"	"5"	"434"	"47.1"	"7.39"	"22.69"	"5"	"1"
