"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"57"	"26"	"83"	"26"	"573"	"61.0"	"5.87"	"294.41"	"26"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"52"	"14"	"79"	"8"	"375"	"41.7"	"5.48"	"248.16"	"14"	"1"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"33"	"49"	"68"	"49"	"2511"	"273.3"	"6.44"	"218.47"	"49"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"46"	"21"	"61"	"11"	"724"	"83.2"	"5.03"	"190.45"	"21"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"50"	"16"	"54"	"5"	"444"	"49.6"	"4.89"	"170.89"	"16"	"1"
"False"	"IsMasterProtein"	"P35579"	"Myosin-9 [OS=Homo sapiens]"	"27"	"40"	"54"	"36"	"1960"	"226.4"	"5.60"	"163.39"	"40"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"36"	"19"	"53"	"10"	"732"	"84.6"	"5.02"	"161.92"	"19"	"1"
"False"	"IsMasterProtein"	"P12277"	"Creatine kinase B-type [OS=Homo sapiens]"	"49"	"12"	"45"	"12"	"381"	"42.6"	"5.59"	"156.00"	"12"	"1"
"False"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain [OS=Homo sapiens]"	"50"	"15"	"49"	"4"	"445"	"49.8"	"4.89"	"153.42"	"15"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"33"	"11"	"44"	"4"	"462"	"50.1"	"9.01"	"148.23"	"11"	"1"
