"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P49327"	"Fatty acid synthase [OS=Homo sapiens]"	"11"	"17"	"17"	"17"	"2511"	"273.3"	"6.44"	"46.42"	"17"	"1"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"30"	"10"	"11"	"10"	"573"	"61.0"	"5.87"	"35.14"	"10"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"26"	"12"	"12"	"11"	"724"	"83.2"	"5.03"	"34.81"	"12"	"1"
"False"	"IsMasterProtein"	"P68104"	"Elongation factor 1-alpha 1 [OS=Homo sapiens]"	"15"	"5"	"10"	"5"	"462"	"50.1"	"9.01"	"29.10"	"5"	"1"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"23"	"7"	"10"	"7"	"451"	"50.1"	"5.06"	"27.11"	"7"	"1"
"False"	"IsMasterProtein"	"P30101"	"Protein disulfide-isomerase A3 [OS=Homo sapiens]"	"25"	"9"	"9"	"9"	"505"	"56.7"	"6.35"	"26.81"	"9"	"1"
"False"	"IsMasterProtein"	"P06576"	"ATP synthase subunit beta, mitochondrial [OS=Homo sapiens]"	"24"	"8"	"8"	"8"	"529"	"56.5"	"5.40"	"23.55"	"8"	"1"
"False"	"IsMasterProtein"	"P25705"	"ATP synthase subunit alpha, mitochondrial [OS=Homo sapiens]"	"19"	"7"	"8"	"7"	"553"	"59.7"	"9.13"	"23.21"	"7"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"19"	"5"	"9"	"3"	"375"	"41.7"	"5.48"	"22.86"	"5"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"14"	"6"	"7"	"5"	"646"	"70.9"	"5.52"	"19.63"	"6"	"1"
"False"	"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM [OS=Homo sapiens]"	"20"	"6"	"7"	"6"	"531"	"57.9"	"7.84"	"18.90"	"6"	"1"
