"Checked"	"Master"	"Accession"	"Description"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Number of Protein Groups"
"False"	"IsMasterProtein"	"P68363"	"Tubulin alpha-1B chain [OS=Homo sapiens]"	"18"	"5"	"7"	"5"	"451"	"50.1"	"5.06"	"21.75"	"5"	"1"
"False"	"IsMasterProtein"	"P10809"	"60 kDa heat shock protein, mitochondrial [OS=Homo sapiens]"	"21"	"7"	"7"	"7"	"573"	"61.0"	"5.87"	"20.20"	"7"	"1"
"False"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 [OS=Homo sapiens]"	"24"	"6"	"6"	"4"	"375"	"41.7"	"5.48"	"17.27"	"6"	"1"
"False"	"IsMasterProtein"	"P04406"	"Glyceraldehyde-3-phosphate dehydrogenase [OS=Homo sapiens]"	"16"	"3"	"4"	"3"	"335"	"36.0"	"8.46"	"12.09"	"3"	"1"
"False"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein [OS=Homo sapiens]"	"9"	"5"	"5"	"4"	"646"	"70.9"	"5.52"	"11.71"	"5"	"1"
"False"	"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta [OS=Homo sapiens]"	"7"	"4"	"4"	"2"	"724"	"83.2"	"5.03"	"10.96"	"4"	"1"
"False"	"IsMasterProtein"	"P07437"	"Tubulin beta chain [OS=Homo sapiens]"	"12"	"3"	"3"	"3"	"444"	"49.6"	"4.89"	"10.59"	"3"	"1"
"False"	"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha [OS=Homo sapiens]"	"7"	"4"	"4"	"2"	"732"	"84.6"	"5.02"	"10.06"	"4"	"1"
"False"	"IsMasterProtein"	"P11021"	"Endoplasmic reticulum chaperone BiP [OS=Homo sapiens]"	"10"	"4"	"4"	"3"	"654"	"72.3"	"5.16"	"9.04"	"4"	"1"
"False"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 [OS=Homo sapiens]"	"6"	"2"	"3"	"2"	"463"	"50.4"	"9.03"	"8.88"	"2"	"1"
"False"	"IsMasterProtein"	"P04075"	"Fructose-bisphosphate aldolase A [OS=Homo sapiens]"	"13"	"3"	"3"	"3"	"364"	"39.4"	"8.09"	"8.33"	"3"	"1"
